,text,Onlynouns,selectednouns
996,次教育行政の小中一貫教育お尋ねいたしの続き私もさせていただき月の「西東京の教育」で来年４月から一貫教育がスタートや内容が市民保護の皆さん知らされ「令和４月西東京オリジナル小中一貫教育スタート！」とのタイトルで小中一貫教育の内容や取り組み説明されていで目指す子ども進学対不安軽減小中一貫カリキュラム（算数・数学英語）の導入小学対象の中学校一斉体験の実施小学対象の中学校教員よる出前授業の実施小学校の垣根越えた生活ルールの導入一斉地域清掃の実施なが盛り込まれている,"['教育行政', '小中一貫教育お尋ね', '月', '西東京', '教育', '来年4月', '一貫教育', 'スタート', '内容', '市民保護', '皆さん', '令和4月西東京オリジナル小中一貫教育スタート', 'タイトル', '小中一貫教育', '内容', '取り組み説明', '子ども進学対不安軽減小中一貫カリキュラム算数', '数学英語', '導入小学対象', '中学校一斉体験', '実施小学対象', '中学校教員', '出前授業', '実施小学校', '垣根', '生活ルール', '導入一斉地域清掃', '実施']","['一貫教育', '小中一貫教育']"
997,一貫教育説明「西東京の教育」読んでさまざまなが私へ寄せられので紹介いたし説明読んで感じたは小学校と中学校が連携は当たり前ので今までやってこなかったかでここ書いては何も西東京オリジナルだの一貫教育だと言うまでもなく子どもが進学で大きな問題なく新しい環境移行していく教育現場で当然配慮すべきないか子どもであろうと大人であろうと新しい環境飛び込む不安や戸惑いがは当然でカリキュラムやルールの統一で不安なくすが果たしてよいなか本当大事なは環境の変化柔軟対応できる力身つけるないか環境の変化なくすなく不安や戸惑い感じている子ども受け入れてくれる人寄り添ってくれる人がいるが大事なないかしかし残念ながら今の先生はあまりも忙しすぎての子ど動揺寄り添う余裕がないこれこそが問題だと思う中学校教師の小学校への出前授業が大変心配で出前授業実施している市の教員からはただでさえ忙しいの小学校へ出向き往復の時間除くと出前授業自体はだこんな意味がのかこういう話も聞く今先生が忙しくなって子ど不安寄り添う時間と心の余裕がなくなっては元も子もないないか「一人ひとりの個性が煌めく未来の」と最初のページ書かれているが子ど個性が大切な教師の個性も学校の個性も同じく大切ず小中学校の垣根越えて取り組む必要がと考えられる内容特ルールとはどんなか大変なるそもそもルールとは集団必要と思われるルールが違うで小中一貫教育ののルールが学校の個性つぶす方向進みはしないかと心配新しい世界入っただから中学校へ行き最初は戸惑うかもしれないゆっくりそルールなれていきましょうと子ども寄り添い育てるが望ましいないか「一人ひとりの個性が煌めく未来の」と書いてので最初読んだは教育がよくなるだとうれしくなった教育がどう変わるか具体ながわからなくて不安なった教育の大きく変えるでながら市民や保護何も知らせない聞かないで決めるとは大問題だなどなどの小中一貫教育の疑問や心配反対などさまざま出てい,"['一貫教育説明', '西東京', '教育', 'さまざま', '紹介', '説明', '小学校', '中学校', '連携', '当たり前', '今', '西東京オリジナル', '一貫教育', '子ども', '進学', '問題', '環境移行', '教育現場', '配慮', '子ども', '大人', '環境', '不安', '戸惑い', 'カリキュラム', 'ルール', '統一', '不安', 'なか本当大事', '環境', '変化柔軟対応', '力身', '環境', '変化', '不安', '戸惑い', '子ども', '人', '人', '大事', '残念', '今', '先生', 'あまり', '子', '動揺', '余裕', '問題', '中学校教師', '小学校', '出前授業', '大変心配', '出前授業実施', '市', '教員', 'ただ', '小学校', '往復', '時間', '出前授業自体', '意味', '話', '先生', '子', '不安', '時間', '心', '余裕', '元', '子', '一人ひとり', '個性', '未来', '最初', 'ページ', '子', '個性', '大切', '教師', '個性', '学校', '個性', '大切', '中学校', '垣根', '必要', '内容特ルール', '大変', 'ルール', '集団必要', 'ルール', '小中一貫教育', 'ルール', '学校', '個性', '方向進み', '心配', '世界', '中学校', '最初', 'そルール', '子ども', '一人ひとり', '個性', '未来', '最初', '教育', '教育', '具体', '不安', '教育', '市民', '保護何', '問題', '小中一貫教育', '疑問', '心配反対', 'さまざま']","['一貫教育', '小中一貫教育', '小中一貫教育']"
998,私は一貫して小中一貫教育は保護市民現場の教員教育学識経験の大きな議論が必要との立場でぜひ説明開き多くの人の聞く求めてき本市子どもかかわるは子ど聞く定めた子ども条例も制定されてい目指す子どもや生活ルールの統一などは中学生の聞くべきそこでしが小中一貫教育の取り組みは小中一貫教育進めるかどうかの是非含め事前中学生保護市民現場教職員学識経験よる聞く機会設けるべきだったと考えが,"['一貫', '小中一貫教育', '保護市民現場', '教員教育学識経験', '議論', '必要', '立場', '説明開き多く', '人', '本市子ども', '子', '子ども条例', '制定', '子ども', '生活ルール', '統一', '中学生', '小中一貫教育', '取り組み', '小中一貫教育', '是非', '事前中学生保護市民現場教職員学識経験', '機会']","['小中一貫教育', '子ども条例', '小中一貫教育', '小中一貫教育']"
999,次子ど貧困対策伺い全国子ど貧困が大問題となってい子ど貧困は厚生労働省の調査で.となりそれ以前比べ少しは改善された数値がしかし貧困ラインも下がった子ど貧困と格差は依然深刻な状況各地で地域の方々よる学習支援や子ども食堂などが実施されていが行政もここで本腰入れて貧困対策のやるべきがのないそこでが西東京の貧困対策の現状はどうなっているの貧困の実態調査実施すべきと考えが所見お願いいたし根本子ど貧困向き合う子ど貧困条例制定すべきと考えが所見伺い,"['次子', '貧困対策伺い全国子', '貧困', '問題', '貧困', '厚生労働省', '調査', 'それ以前', '改善', '数値', '貧困ライン', '子', '貧困', '格差', '深刻', '状況各地', '地域', '方々', '学習支援', '子ども食堂', '実施', '行政', '本腰', '貧困対策', '西東京', '貧困対策', '現状', '貧困', '実態調査実施', '考え', '所見お願い', '根本子', '貧困', '子', '貧困条例制定', '考え', '所見伺い']",
1000,次西武新宿線連続立体交差事業伺い西武新宿線連続立体交差事業は先日練馬杉並中野の住民が参加し私西東京からも参加して西武新宿線連続立体交差事業検討な会がそして中今高架が打ち出されていが大変不十分な高架の打ち出しだがわかり東京は高架打ち出していが高架は２つのやり方検討していながら地下は１つの検討しか行っていませんもっと安くなるいう地下の方法ももかかわらず不十分な検討でさら検討進め状況地域の住民知らせる必要がなが多数出され私も性急進めず地域住民の声聞きながら工法検討必要がと考えが所見伺いたいと,"['西武新宿線連続立体交差事業伺い西武新宿線連続立体交差事業', '先日練馬杉並中野', '住民', '参加', '私西東京', '参加', '西武新宿線連続立体交差事業検討', '会', '高架', '大変不十分', '高架', '打ち出し', '東京', '高架', '高架', 'やり方検討', '地下', '検討', '地下', '方法', '不十分', '検討', 'さら検討', '状況地域', '住民', '必要', '多数', '性急', '地域住民', '声', '工法検討必要', '考え', '所見']",
1001,最後東伏見新青梅街道そばの信号お尋ねいたし（※後発言訂正）新青梅街道これは都道がそれと交差してい市道の交差交差点が赤信号の車両が横断歩道停車している歩行の横断の障害なってい特地域は車椅子で利用が多く車椅子のが横断歩道渡れないなど大変問題が地域の皆さんから指摘されている赤信号の車両が進入し停車しないの対策警察との協議含めとる求めが所見お願いいたし,"['最後東伏見', '青梅街道そば', '信号お尋ね', '発言訂正', '青梅街道これ', '都道', '交差', '市道', '交差交差点', '赤信号', '車両', '横断歩道停車', '歩行', '横断', '障害', '特地域', '車椅子', '利用', '車椅子の', '横断歩道', '大変問題', '地域', '皆さん', '指摘', '赤信号', '車両', '進入', '停車', '対策警察', '協議', '求め', '所見お願い']",['横断歩道']
1002,	:◯議長（のり）ちょっとお待ち今東伏見とおっしゃい富士じゃないか,"['', 'お待ち', '東伏見', '富士']",
1003,	:◯（）申しわけません訂正いたし富士,"['', '◯申しわけ', '訂正', '富士']",
1004,	:◯議長（のり）わかり,[''],
1005,〔市長登壇〕,[],
1006,	:◯市長（）の一般高齢福祉お答えし全世代社会保障検討会議つきましてはまでの就業機会の確保の法制や年金受給年齢の選択肢の拡大検討しているは認識しているござい後期高齢医療つきましては窓口負担のへの引き上げなどが検討事項となっているも認識しており今年度中間報告来年夏最終報告取りまとめる予定と伺っており今後の国の動向注視してまいりたいと考えており国への要望つきましては毎年度市長通じ公費負担の増額要望しておりなお介護保険つきましては国おいて介護保険の伸びの抑制向けてケアマネジメントの利用負担の導入や軽度へのサービスの地域支援事業へのなる移行などが検討事項挙げられておりが先日導入見送る方針となった報道は承知しており,"['', '世代社会保障検討会議', '就業機会', '確保', '法制', '年金受給年齢', '選択肢', '拡大検討', '認識', '後期高齢医療', '窓口負担の', '引き上げ', '検討事項', '認識', '今年度中間報告来年夏最終報告', '予定', '今後', '国', '動向注視', '国', '要望', '公費負担', '増額要望', '介護保険', '国', '介護保険', '伸び', '抑制', 'ケアマネジメント', '利用負担', '導入', '軽度', 'サービス', '地域支援事業', '移行', '検討事項', '先日導入', '方針', '報道', '承知']","['介護保険', '介護保険']"
1007,次子ど貧困対策お答えし東京は平成改定し東京子供・子育て支援総合計画（中間見直し）子ど貧困対策第基づく都道府県ど貧困対策計画と位置づけており子ど学習支援や居場所の創設今後充実図るおり本市でも本年３月策定いたし西東京第総合計画・後期基本計画おいて子ど貧困関連事務事業ど居場所の充実集約し放課後子ども総合プラン基づく子ど居場所と子どもが安心して過ごし遊び学び活動の多様な居場所の充実検討おり貧困の実態つきましては平成８月本市でひとり親家庭の実態調査行いが国でも令和貧困の統一指標用いた全国調査実施予定と伺っており西東京子ども条例育ち学ぶ施設の関係のや市民の皆様事業の方々と連携・働して子ど貧困総合取り組むや子ど居場所の推進掲げており現在子ども子育て審議及び審議の計画専門部会おきまして西東京市子育ち・子育てワイワイプランの中間見直し行っており西東京子ども条例の理念の反映など議論いただいており本市といたしましても引き続きワイワイプランの見直しので検討しつつ子ど貧困対策取り組んでまいり,"['次子', '東京', '平成改定', '東京子供', '子育て支援総合計画中間見直し子', '貧困対策', '都道府県', '貧困対策計画', '学習支援', '居場所', '創設今後充実', '本市', '本年3月策定', '西東京', '総合計画', '後期基本計画', '子', '貧困関連事務事業', '居場所', '充実集約', '放課後子ども総合プラン', '子', '居場所', '子ども', '安心', '遊び学び活動', '多様', '居場所', '充実検討', '貧困', '実態', '平成8月本市', 'ひとり親家庭', '実態調査行い', '国', '令和貧困', '統一指標', '全国調査実施予定', '西東京子ども条例', '施設', '関係の', '市民', '方々', '連携', '働', '子', '貧困総合', '子', '居場所', '推進', '現在子ども子育て審議', '審議', '計画専門部会', '西東京市子育ち', '子育てワイワイプラン', '中間見直し', '西東京子ども条例', '理念', '反映', '議論', '市', 'プラン', '見直し', '検討', '子', '貧困対策']",
1008,次西武新宿線連続立体交差事業お答えし本年２月から２月まで連続立体交差計画の都市計画素案説明が東京杉並練馬西東京及び西武鉄道株式会社の共催で行われ本市２月東伏見小学校で行われたござい説明ので地形計画事業条件総合判断結果連続立体交差の構造形式つきましては高架方式選定が事業主体で東京から説明されており本市本年８月から９月かけまして今後連続立体交差計画が事業される影響がと思われる沿線住民の方々戸別訪問し都市計画素案説明の内容改めて説明など丁寧な対応行っているございなお今後の事業向けたスケジュールといたしましては今年度都市計画の説明予定し令和都市計画決定令和から都市計画事業認可の取得予定して事業進めていきたい予定が都市計画素案説明ので東京から説明されており,"['本年2月', '2月', '連続立体交差計画', '都市計画素案説明', '東京杉並練馬西東京', '西武鉄道株式会社', '共催', '市2月東伏見小学校', '説明', '地形計画事業条件総合判断結果連続立体交差', '構造形式', '高架方式選定', '事業主体', '東京', '説明', '市本年8月', '9月', '今後連続立体交差計画', '事業', '影響', '沿線住民', '方々戸別訪問', '都市計画素案説明', '内容', '説明', '丁寧', '対応', '今後', '事業', 'スケジュール', '今年度都市計画', '説明予定', '令和都市計画決定令和', '都市計画事業認可', '取得予定', '事業', '予定', '都市計画素案説明', '東京', '説明']",
1009,最後富士新青梅街道そばの信号お答えし信号の設置・管理つきましては警察の所管となるから田無警察通じて横断歩道車両が停車しない信号のサイクルの見直しができないか要望いたししかしながら幹線道路の信号つきましてはセンサー通行検知し円滑な車両の流れとなる通して複数の信号のサイクルが変更されるシステムとなっている個別の対応は難しいと伺っており個別の交差点おける対応が難しいから現時点住民のの等聞く機会は設けていないとも伺っており今後横断歩道横断歩行の安全確保の道路管理となる東京対し車両対注意喚起の看板の設置要望の対応検討してまいりたいと考えており,"['最後富士', '青梅街道そば', '信号', '設置', '管理', '警察', '所管', '田無警察', '横断歩道車両', '停車', '信号', 'サイクル', '見直し', '要望', '幹線道路', '信号', 'センサー通行検知', '円滑', '車両', '流れ', '複数', '信号', 'サイクル', '変更', 'システム', '個別', '対応', '個別', '交差点', '対応', '現時点住民', 'の等', '機会', '今後横断歩道横断歩行', '安全確保', '道路管理', '東京対', '車両対注意喚起', '看板', '設置要望', '対応検討']",['交差点']
1010,	:◯教育（）一貫教育お答えいたし小中一貫教育の検討つきましては平成検討委員設置し本年月最終報告取りまとめ本市の複雑な学区の状況や学校施設の更新などの諸課題踏まえ平成から西東京独自の効果な小中一貫教育の研究してまいり令和からの小中一貫教育の取り組みは研究指定の取り組みや教員よるカリキュラム検討の成果が学校現場からや提案反映されたとなっており平成研究指定おいて児童生徒へのアンケート実施いたし小学の児童対象中学校で楽しみなや不安ななど中学の生徒対象中学校の魅力や入学戸惑ったなどの調査行いアンケート調査おける児童生徒の声踏まえ令和からの小中一貫教育の取り組み反映ござい月発行し「西東京の教育」おきまして小中一貫教育の特集記事掲載ほか説明開催し保護や市民の皆様周知させていただき西東京おける小中一貫教育の取り組みつきましては本市独自の取り組み児童生徒への指導内容特といたしから庁検討委員での検討はじめ研究指定の取り組みや教員よるカリキュラム検討の結果アンケート調査おける児童生徒の声踏まえ教育委員で対応内容でと考えており,"['', '小中一貫教育', '検討', '平成検討委員設置', '年月最終報告取りまとめ本市', '複雑', '学区', '状況', '学校施設', '更新', '課題', '平成', '西東京独自', '効果', '小中一貫教育', '研究', '令和', '小中一貫教育', '取り組み', '研究指定', '取り組み', '教員', 'カリキュラム検討', '成果', '学校現場', '提案反映', '平成研究指定', '児童生徒', 'アンケート実施', '小学', '児童対象中学校', '楽しみ', '不安', '中学', '生徒対象中学校', '魅力', '入学', '調査行いアンケート調査', '児童生徒', '声', '令和', '小中一貫教育', '取り組み反映', '月発行', '西東京', '教育', '小中一貫教育', '特集記事掲載ほか説明開催', '保護', '市民', '西東京', '小中一貫教育', '取り組み', '本市独自', '取り組み児童生徒', '指導内容特', '庁検討委員', '検討はじめ研究指定', '取り組み', '教員', 'カリキュラム検討', '結果アンケート調査', '児童生徒', '声', '教育委員', '対応内容']","['小中一貫教育', '小中一貫教育', '小中一貫教育', '小中一貫教育', '小中一貫教育', '小中一貫教育']"
1011,	:◯（）順序入れかえながら述べたりりさせていただき,"['', '◯順序']",
1012,高齢福祉が全世代社会保障が検討されている中身来年夏最終報告出されるがおわかりでわかり今後の国の動向見ていく本当やろうるは高齢とっては負担だったり制度改悪だったりしケアプランの有料は導入見送るが新聞報道であったとが私も新聞報道読んでみがケアマネジャーの皆さんが大変怒りこれ介護保険入り口でストップさせるだと国改善求めそして皆さんの大きな反対運動のでケアプランの有料は導入が見送られた知り今後の国の動向見るとは言い西東京暮らす高齢の皆さんが十分介護受け医療受ける全世代社会保障がまま進められて内容が実施されたら大変ななり市長は先ほどの答弁で社会保障の増額は市長で国求めている答弁されそれもあわせながら全世代社会保障の問題市長でも大きな話題していただき反対の声上げていただきたいとし市長かかわらず西東京独自でもこれは許せない声上げていただきたいと西東京でも隣の小平でも東久留米でもさまざまな自治体がこれは許せない高齢の生活が本当大変なってしまう上げるで医療や介護の制度の改悪ストップができるとので西東京もぜひ国上げていただきたい求めてこれは終わりいたし,"['高齢福祉', '世代社会保障', '検討', '中身来年夏最終報告', '今後', '国', '動向', '本当', '高齢', '負担', '制度改悪', 'ケアプラン', '有料', '導入', '新聞報道', '新聞報道', 'ケアマネジャー', '皆さん', '大変怒りこれ介護保険入り口', 'ストップ', '国改善', '皆さん', '反対運動', 'ケアプラン', '有料', '導入', '今後', '国', '動向', '西東京', '高齢', '皆さん', '十分介護', '医療', '世代社会保障', '内容', '実施', '大変', '先', '社会保障', '増額', '国', '世代社会保障', '話題', '反対', '声', '西東京独自', '声', '西東京', '隣', '小平', '東久留米', 'さまざま', '自治体', '高齢', '生活', '本当大変', '医療', '介護', '制度', '改悪ストップ', '西東京', '国']",['反対']
1013,次子ど貧困対策が子ど居場所の充実検討とかあとは子ども条例貧困総合取り組むが述べられているのでワイワイプランの中間見直しので取り組んでいく検討されるぜひそれもあわせながら子ど貧困の実態調査し子ど貧困は将来の子ど生き方や健康もかかわるのでぜひ子ど貧困条例制定すべき述べ終わりたいと,"['次子', '貧困対策', '子', '居場所', '充実検討', 'あと', '子ども条例貧困総合', 'プラン', '中間', '検討', '子', '貧困', '実態調査', '子', '貧困', '将来', '子', '生き方', '健康', '子', '貧困条例制定']",
1014,次西武新宿線連続立体交差事業東京は高架方式選定わけの集まりの高架か地下かそれぞれのでいろんながいろんな持っているはわかりが特の西東京東伏見周辺の地域の考えても十分検討必要がなが多く出された拙速進めるなく工法検討必要がぜひ東京や西武鉄道なども求めていただきたいお願いいたしまして終わりいと,"['西武新宿線連続立体交差事業東京', '高架方式選定わけ', '集まり', '高架', '地下', 'それぞれ', '特', '西東京東伏見周辺', '地域', '十分検討必要', '多く', '拙速', '工法検討必要', '東京', '西武鉄道', 'お願い']",
1015,次富士新青梅街道そばの信号が警察でも本庁でも総合検討しなくてはならないので信号だけ対応とるいかないな答弁だとがでも実際危険遭ういう場所のでぜひ引き続き警察も声上げ地域住民と一緒安全な道路となる力尽くしていただきたいお願いいたし,"['次富士', '青梅街道そば', '信号', '警察', '本庁', '総合検討', '信号', '対応', 'るい', '危険', '場所', '警察', '声上げ地域住民', '一緒安全', '道路', '力', 'お願い']",
1016,次小中一貫教育答弁本市独自の取り組み児童生徒への指導内容特でそして結局なでから教育委員で対応内容でと判断だから市民保護へは説明もせずも聞かなかったな答弁だったとでも私が思う児童生徒への指導内容特と言われが児童生徒への指導内容こそ子どもや保護の聞くべきだったのない私がたびたびアンケート結果で述べてい勉強がわからない勉強ができるしてほしいそしてわかるな勉強方法で教えてほしいながたくさんあった児童生徒への指導内容はどう指導子どもが勉強ができるなるか子どもが自分の教えてくれていてそして教えだったら自分もよくわかるなるが大事だと思うのでこれはぜひ子ども聞くべきしの子どもは勉強がわからないいう持ちながら心痛めている保護のもたくさんいると保護のとっても児童生徒への指導内容は述べたいがのない先生の聞いてきたと言われがでもそれは小中一貫教育実施前提生活ルールの導入や小中一貫カリキュラム先生が検討な先生だったのない毎日子ども接して子ど悩みや子ど苦しみよくわかっている現場の先生のぜひ聞くべきだったのないかと思っている述べさせていただき,"['取り組み児童生徒', '指導内容特', '結局', '教育委員', '対応内容', '判断', '市民保護', '説明', '児童生徒', '指導内容特', '児童生徒', '指導内容', '子ども', '保護', 'アンケート結果', '勉強', '勉強', '勉強方法', 'たくさん', '児童生徒', '指導内容', '指導子ども', '勉強', '子ども', '自分', '教え', '自分', '大事', '子ども', 'しの子ども', '勉強', '心', '保護の', 'たくさん', '保護', '児童生徒', '指導内容', 'いが', '先生', '小中一貫教育実施前提生活ルール', '導入', '小中一貫カリキュラム先生', '検討', '先生', '毎日子ども', '子', '悩み', '子', '苦しみ', '現場', '先生']",
1017,次が小中一貫教育検討手続も私は問題がと考え検討委員中間まとめや最終報告が出されていが庁検討委員は教育部長や教育委員の課長の職員で構成され市民や保護現場の教員学識経験が全く入っていません市民の皆さんから２つの報告ど目線が全く入っていない今問題となっている子ど学力低下どいじめ自殺貧困教員の過酷な働きなど全く検討されていないなどの声が上がってい特最終報告の小中一貫教育の推進は持続可能な社会のつくりはぐくむ教育環境実現の一つの手段となるなが書かれていがこれ読んだ元学校の先生から次のなこれはおかしい声が上がっていこれ社会役立つ人間企業役立つ人間育てようとだ現在の教育は人格の完成目指すと普通教育なだから小中一貫教育で人材の育成目指す教育変えられるないかこういう声これはさまざまながとがだからこそさまざまなが出されるいう説明開くなどのが大事だと思っている子どもの一番よくわかっている保護や現場の先生が入っていない中間まとめや最終報告はどちらも行政主導よるないか報告は実施前提検討されているがやはり是非含め多くの人のかんかんがくがくけんけんごうご議論が必要だと考えが所見お願いいたし,"['次', '小中一貫教育検討手続', '問題', '検討委員中間まとめ', '最終報告', 'いが庁検討委員', '教育部長', '教育委員', '課長', '職員', '構成', '市民', '保護現場', '教員学識経験', '市民', '皆さん', '報告', '目線', '問題', '子', '学力低下', 'いじめ自殺貧困教員', '過酷', '働き', '検討', '声', '特最終報告', '小中一貫教育', '推進', '持続可能', '社会', '教育環境実現', '一つ', '手段', '学校', '先生', '次', '声', 'これ社会', '人間企業', '人間', '現在', '教育', '人格', '完成', '普通教育', '小中一貫教育', '人材', '育成', '教育', '声これ', 'さまざま', 'さまざま', '説明', '大事', '子ども', '一番', '保護', '現場', '先生', '中間まとめ', '最終報告', '行政主導', '報告', '実施前提検討', '是非', '多く', '人', 'けんけん', '議論', '必要', '考え', '所見お願い']","['小中一貫教育', '小中一貫教育']"
1018,西東京の小中一貫教育が必要だろうかこういう素朴な声も西東京の子ども必要なは小中一貫教育は教育計画策定実施アンケートで「学校で困っているは何か」の問い「授業がわからない」が小学生.中学生が.「学校や先生望むは何か」の問い「勉強がわかるしてほしい」が小学生中学生は.「一人ひとりの力合わせた内容教えてほしい」は小学生.中学生.これが教育行政望む子どもの切実な声ない小中一貫教育なく子どもの声応える教育行政が必要だと考えの子ど人数減らす少人数学級実現学級担任の先生のふやす学校司書からしてどの子も読書習慣つける貧困対応就学援助制度の充実と他やるがたくさんのない先生へのアンケート「特重き置いて取り組む必要は」の問い「少人数学級の実現」がで断トツで「一貫教育」はわずか.でしかません一貫教育望む声はほとんどない状態な検討してはいかがな改めて所見伺い,"['西東京', '小中一貫教育', '必要', '素朴', '声', '西東京', '子ども必要', '小中一貫教育', '教育計画策定実施アンケート', '学校', '問い', '授業', '小学生中学生', '学校', '先生', '問い', '勉強', '小学生中学生', '一人ひとり', '力', '内容', '小学生中学生これ', '教育行政', '子ども', '切実', '声', '小中一貫教育', '子ども', '声', '教育行政', '必要', '考え', '子', '人数', '人数学級実現学級担任', '先生', '学校司書', '子', '読書習慣', '貧困対応就学援助制度', '充実', '他', 'たくさん', '先生', 'アンケート', '特', '必要', '問い', '人数学級', '実現', '断トツ', '一貫教育', '一貫教育', '声', '状態', '検討', 'いかが', '所見伺い']","['小中一貫教育', '小中一貫教育', '小中一貫教育', '学校司書', '一貫教育', '一貫教育']"
1019,	:◯教育部長（）一貫教育再お答えいたし本市の小中一貫教育の取り組みは児童生徒への指導方法や指導技術でカリキュラム開発委員や小中一貫教育研究指定の取り組み通じて日ごろ児童生徒と接している学校現場の教員が専門な知見活用して作成でございアンケート調査よる児童生徒からの反映して児童の進学不安軽減重視しておりから本市の小中一貫教育の取り組みは教育委員が学校現場の教員や児童生徒と一緒作成で本取り組みは保護や地域の皆様も理解いただける考えておるござい学校教育各課題つきましては１つずつ整理しながら西東京教育計画基づき計画各施策行っていくが大切で考えており,"['', '◯教育部長一貫教育', '市', '小中一貫教育', '取り組み', '児童生徒', '指導方法', '指導技術', 'カリキュラム開発委員', '小中一貫教育研究指定', '取り組み', '児童生徒', '学校現場', '教員', '専門', '知見活用', '作成', 'アンケート調査', '児童生徒', '反映', '児童', '進学不安軽減重視', '本市', '小中一貫教育', '取り組み', '教育委員', '学校現場', '教員', '児童生徒', '一緒作成', '取り組み', '保護', '地域', '理解', '学校教育', '課題', '整理', '西東京教育計画', '計画', '施策', '大切']","['小中一貫教育', '小中一貫教育']"
1020,一貫教育つきましては自体が目的なく児童生徒の生きる力育成の方法手段の１つほかなりません一貫教育行うは授業の質の向上が図られるととも小学校から中学校への円滑な接続が図られるから子どもとってプラス作用考えており,"['一貫教育', '自体', '目的', '児童生徒', '力育成', '方法手段', 'ほか', '一貫教育', '授業', '質', '向上', '小学校', '中学校', '円滑', '接続', '子ども', 'プラス作用']","['一貫教育', '一貫教育']"
1021,	:◯（）一貫教育は教育委員が学校現場の教員や児童生徒と一緒作成で本取り組みは保護や地域の皆様も理解いただけると考えておりな答弁がでも私が実際現場の先生お話伺ってみと小中一貫教育がどう検討されているかよくわからない先生ので話題もなっていないお話小中一貫教育進める先生は聞いてはいがほんの一部の先生で指摘いと,"['', '◯一貫教育', '教育委員', '学校現場', '教員', '児童生徒', '一緒作成', '取り組み', '保護', '地域', '理解', '現場', '先生お話', '小中一貫教育', '検討', '先生', '話題', 'お話小中一貫教育', '先生', '一部', '先生', '指摘']",['小中一貫教育']
1022,本取り組みは保護や地域の皆さんも理解いただけるとはどういう何根拠理解得られると考えるの私が最初述べた月の小中一貫教育の説明読んだだけでも理解も納得もしない人が多いがわかるませんか今後小中一貫教育対市民説明開催とがはあまり少ないない昨日の議会ごみ回収でももも説明開きがそこ参加な経験が明らかなってい教育委員も姿勢学ぶべきないのみなく小学校説明開き出された真摯耳傾けるべきない小中一貫教育で期待される効果ギャップの解消が挙げられていが文部科学国立教育政策研究所の生徒指導リーフ「中１ギャップの真実」ので調査データも小６から中１至る過程大きな壁やハードルが存在しそれが大きな問題引き起こしているなイメージ抱きだがしかし多くの問題が顕在は中学生段階からだも実は小学校の段階から問題が始まっている場合が多い安易ギャップ言葉使うは危険だと警鐘鳴らしていあたかも小中一貫教育実施で今の子ど問題が解消かの中１ギャップ言葉使っていが科学根拠の乏しいで効果ふさわしくないと考えが所見伺い,"['取り組み', '保護', '地域', '皆さん', '理解', '何根拠理解', '最初', '月', '小中一貫教育', '説明', '理解', '納得', '人', '今後小中一貫教育対市民説明開催', '昨日', '議会ごみ回収', 'もも', '説明開き', 'そこ参加', '経験', '明らか', '教育委員', '姿勢', '小学校説明', '真摯耳', '小中一貫教育', '期待', '効果ギャップ', '解消', '文部科学国立教育政策研究所', '生徒指導リーフ', '1ギャップ', '真実', '調査データ', '過程', '壁', 'ハードル', '存在', '問題', 'イメージ', '多く', '問題', '顕在', '中学生段階', '小学校', '段階', '問題', '場合', '安易ギャップ言葉', '危険', '警鐘', '小中一貫教育実施', '今', '子', '問題', '解消', '中1ギャップ言葉', '科学根拠', '効果', '考え', '所見伺い']","['小中一貫教育', '小中一貫教育']"
1023,	:◯教育部長（）再お答えいたし市民説明でござい昨年度西東京の教育計画の策定伴いまして開催し市民説明がであったからこれ参考とさせていただきとさせていただいているござい市民説明当日の資料つきましては市のホームページ掲載予定でございまして保護や地域の皆様の等対しましても丁寧対応してまいりたい考えており,"['', '◯教育部長', '市民説明', '昨年度西東京', '教育計画', '策定', '開催', '市民説明', 'これ参考', '市民説明当日', '資料', '市', 'ホームページ掲載予定', '保護', '地域', '丁寧対応']","['市民説明', '教育計画', '市民説明']"
1024,次小中一貫教育といわゆるギャップの解消関連お答えいたし平成の中央教育審議おける答申「子供の発達や学習の意欲・能力応じた柔軟かつ効果な教育システムの構築」おいて小中一貫教育期待される効果わゆるギャップの解消記載がございで中１ギャップ明確な定義はなく客観事実とは言い切れない報告がも認識しておりしかし児童生徒のアンケートからも進学への不安がは事実で段差低くして乗り越えやすく必要は考えており本市の小中一貫教育の取り組みるござい,"['小中一貫教育', 'ギャップ', '平成', '中央教育審議', '答申', '子供', '発達', '学習', '意欲', '能力', '柔軟', '効果', '教育システム', '構築', '小中一貫教育期待', '効果', 'ギャップ', '解消記載', '中1ギャップ明確', '定義', '客観事実', '報告', '認識', '児童生徒', 'アンケート', '進学', '不安', '事実', '段差', '必要', '市', '小中一貫教育']","['小中一貫教育', '小中一貫教育']"
